train_scope,eval_scope,model,eval_rows,target_mean,target_max,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2
2023_2024_전체학습,2025_전체,Ridge,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.691488954627491,12.213991308195954,0.6649589334844515
2023_2024_전체학습,2025_강우일,Ridge,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,6.483894507338851,22.862104636634605,0.6448335419587639
2023_2024_전체학습,2025_강한강우,Ridge,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,9.408000939546804,29.11977441330862,0.6314217109480006
2023_2024_전체학습,2025_장마철,Ridge,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,5.036268152538482,20.66749383131231,0.6486011438139802
2023_2024_전체학습,2025_유입량증가상위5퍼센트,Ridge,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,15.701085644126225,50.80041649491041,0.5675776874308051
2023_2024_전체학습,2025_유입량상위5퍼센트,Ridge,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,21.940636565666317,53.47558374410046,0.5167805584386052
2023_2024_전체학습,2025_강한강우_그리고_유입량증가상위5퍼센트,Ridge,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,25.625264878261365,68.73634051245746,0.5262683851574393
2023_2024_전체학습,2025_전체,RandomForest,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.4083971192942184,12.87059917815217,0.627967945711397
2023_2024_전체학습,2025_강우일,RandomForest,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,6.193230103651265,24.170656377820215,0.603012880074946
2023_2024_전체학습,2025_강한강우,RandomForest,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,9.419059962651783,30.941108392404722,0.5838734060881494
2023_2024_전체학습,2025_장마철,RandomForest,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,4.772026072551588,21.651611576622244,0.6143394955997279
