dam_code,dam_name,rows,target_mean,target_max,baseline_MAE,model_MAE,baseline_RMSE,model_RMSE,baseline_R2,model_R2,MAE_improvement,MAE_improvement_pct,R2_gain
2002110,??,8760,14.994960730593608,747.933,9.149465296803651,8.192651054992242,21.52094098516043,18.706435575928406,0.777103528059723,0.8315919813019597,0.9568142418114096,10.4575973652326,0.05448845324223661
2018110,??,8649,44.43703445485027,966.492,23.508351138859982,16.06668945048595,36.230337138406014,28.572005552316142,0.7043886965763844,0.8161524962953302,7.441661688374033,31.655396179924978,0.11176379971894579
4001110,???,8715,20.260295582329316,975.847,11.466938037865747,9.345173596597093,22.10250052149003,19.842823312558366,0.7608171057717175,0.8072234390600938,2.1217644412686543,18.50332176089409,0.04640633328837629
2015110,??,8729,16.79496448619544,917.528,6.482947989460418,5.6957638559707044,18.60426698227172,17.507359087982415,0.7652700578217194,0.7921334326573233,0.7871841334897134,12.142379281300258,0.02686337483560386
1006110,??,8760,5.557708219178082,149.106,2.408911073059361,2.5002786008788123,5.341165572037847,5.191897430923629,0.757204238740196,0.7705853081951408,-0.09136752781945123,-3.7928974980140215,0.013381069454944772
3001110,??,8719,24.645400963413234,968.448,12.522424245899758,10.143401814630515,27.97332634348718,25.03895983066612,0.6714529735201965,0.7367660601593949,2.3790224312692434,18.998098008444423,0.06531308663919844
4007110,??(?),8729,11.656996677740864,776.821,9.568882002520336,10.51761096131274,22.52106766915721,20.191387818250114,0.6337195733446748,0.7055794625251579,-0.9487289587924046,-9.914731507218084,0.07185988918048314
2021110,??,8760,2.809879109589041,328.956,1.7645307077625574,1.896858650090839,6.351617409311538,6.2725804577954705,0.6353815346818319,0.6443994047142847,-0.1323279423282817,-7.499327823887795,0.009017870032452802
2004101,??,8760,5.668001598173516,116.763,3.959093150684932,3.4295128092210923,6.453198094937999,5.427146946088818,0.48433154119133637,0.6352765091297246,0.5295803414638396,13.37630415117212,0.15094496793838819
5101110,??,8760,6.374299657534247,482.926,3.6175090182648404,4.112961783597005,12.00365230773534,12.891205104957795,0.6108804115331912,0.5512098507373913,-0.495452765332165,-13.695964898238508,-0.05967056079579991
2002111,??,8760,0.9456283105022832,61.06,0.4428848173515981,0.8032665381587404,1.5531570161386847,1.88020433878198,0.6794957898753222,0.5303080530768165,-0.36038172080714226,-81.37143263618401,-0.14918773679850572
2008101,??,8760,1.3201866438356162,253.444,0.7901446347031963,1.2175290132773302,4.679073960124489,4.6376251151527965,0.47365530429090663,0.4829390862465912,-0.4273843785741339,-54.089385639462485,0.009283781955684578
4104610,??(?),8760,12.284648401826482,331.077,7.59470296803653,6.354215122016766,12.485113161573905,10.914964389904961,0.3151577180129348,0.4765800808985218,1.2404878460197635,16.333592653202455,0.16142236288558698
3203110,??,8752,5.842013825411334,753.346,2.350479319012797,2.8827407848641413,13.172765014853193,15.717536780236756,0.6302170750782708,0.47354417580836206,-0.5322614658513443,-22.644805318895315,-0.1566728992699088
2001110,??,8760,25.50172283105023,527.306,29.762531050228308,26.84971610246714,49.73239089691003,38.25059879690226,0.047338612019150794,0.43644492811369506,2.9128149477611665,9.786852276929661,0.38910631609454427
1003110,??,8760,29.66898116438356,2316.18,30.068835159817358,34.771643936434735,119.75679908852736,123.7808481919205,0.4650587573497904,0.42850474106427194,-4.702808776617378,-15.640142864270315,-0.036554016285518465
2012101,???,8760,0.6423904109589041,65.662,0.29940319634703194,0.9546503797020957,1.3119200553032373,1.8660294996443927,0.6078343934177114,0.2066007771291507,-0.6552471833550637,-218.85109823462957,-0.4012336162885607
1012110,???,8760,11.626547146118723,1414.111,16.85693812785388,18.656045384642347,79.27753359779375,74.91349463830198,0.042675823657376544,0.1451717228096434,-1.7991072567884672,-10.672799788092467,0.10249589915226687
3303110,??,8760,1.6949504566210045,371.005,1.1230724885844747,1.629404570840947,7.785315477920816,7.68031555151202,0.11995531104014145,0.14353341803691144,-0.5063320822564723,-45.084541505834174,0.023578106996769987
3008110,??,8422,56.94547554025172,49802.508,56.30582913797198,42.92809159932355,770.8993560539495,545.9144620096756,-0.9670119358298621,0.013582363765078376,13.377737538648432,23.759063215049338,0.9805942995949405
