obsrdt,inflowqy,target_inflow_3h,pred_inflow_GradientBoosting,pred_inflow_RandomForest,dam_name,dam_code
2025-01-03 11:00:00,0.0,3.9,20.05041897689948,23.38640002976191,남강댐,2018110
2025-01-03 12:00:00,47.997,0.0,11.344074434103975,8.87245523809524,남강댐,2018110
2025-01-03 13:00:00,3.784,2.178,29.65536922342457,38.20588184523811,남강댐,2018110
2025-01-03 14:00:00,3.9,24.423,14.672909595830188,11.93726696924603,남강댐,2018110
2025-01-03 15:00:00,0.0,0.0,18.420296553803215,19.860906259920636,남강댐,2018110
2025-01-03 16:00:00,2.178,5.216,12.364630471858485,19.455383055555554,남강댐,2018110
2025-01-03 17:00:00,24.423,4.396,13.204844946096744,11.658715069444447,남강댐,2018110
2025-01-03 18:00:00,0.0,42.414,15.6440349081633,18.006447812500003,남강댐,2018110
2025-01-03 19:00:00,5.216,0.0,11.775825991593605,11.505218750000001,남강댐,2018110
2025-01-03 20:00:00,4.396,11.895,13.410935747669255,11.463761666666667,남강댐,2018110
2025-01-03 21:00:00,42.414,4.278,13.204844946096744,14.82702344246032,남강댐,2018110
2025-01-03 22:00:00,0.0,19.52,20.05041897689948,25.124970148809524,남강댐,2018110
2025-01-03 23:00:00,11.895,4.349,11.936920523359808,18.400355297619058,남강댐,2018110
2025-01-04 00:00:00,4.278,34.758,18.16435583681561,19.123904821428567,남강댐,2018110
2025-01-04 01:00:00,19.52,0.0,12.266646119971634,15.557051960678217,남강댐,2018110
2025-01-04 02:00:00,4.349,19.347,14.84931311104166,12.780839404761903,남강댐,2018110
2025-01-04 03:00:00,34.758,0.0,12.583431361860374,9.82575431547619,남강댐,2018110
2025-01-04 04:00:00,0.0,19.312,16.906295581928266,22.791558928571426,남강댐,2018110
2025-01-04 05:00:00,19.347,4.265,11.936920523359808,17.757695446428567,남강댐,2018110
2025-01-04 06:00:00,0.0,27.172,16.46492942297497,12.235079236111112,남강댐,2018110
2025-01-04 07:00:00,19.312,13.78,11.936920523359808,23.062973958333338,남강댐,2018110
2025-01-04 08:00:00,4.265,21.566,14.467410681787586,13.926443611111107,남강댐,2018110
2025-01-04 09:00:00,27.172,14.24,12.583431361860374,15.185432083333335,남강댐,2018110
2025-01-04 10:00:00,13.78,22.178,14.984505414419129,10.94519469426407,남강댐,2018110
2025-01-04 11:00:00,21.566,0.0,14.72814629461737,13.369804151785711,남강댐,2018110
2025-01-04 12:00:00,14.24,19.793,14.019656480444054,10.616904682539682,남강댐,2018110
2025-01-04 13:00:00,22.178,4.703,14.72814629461737,14.051614002976184,남강댐,2018110
2025-01-04 14:00:00,0.0,35.128,14.467410681787586,14.82719598214286,남강댐,2018110
2025-01-04 15:00:00,19.793,0.0,11.916876270514953,14.137077678571426,남강댐,2018110
2025-01-04 16:00:00,4.703,12.314,14.679185974188224,16.68008282738095,남강댐,2018110
2025-01-04 17:00:00,35.128,12.277,14.04238130252829,10.988640104166665,남강댐,2018110
2025-01-04 18:00:00,0.0,4.394,19.136712870472156,25.855703601190477,남강댐,2018110
2025-01-04 19:00:00,12.314,19.644,12.388206970742745,18.80013479166667,남강댐,2018110
2025-01-04 20:00:00,12.277,12.039,18.12929675160935,17.698199727182537,남강댐,2018110
2025-01-04 21:00:00,4.394,27.254,15.175900495960901,17.85148397321428,남강댐,2018110
2025-01-04 22:00:00,19.644,12.019,12.67183506367561,17.11098958333334,남강댐,2018110
2025-01-04 23:00:00,12.039,4.371,15.513078668991794,12.94003267857143,남강댐,2018110
2025-01-05 00:00:00,27.254,4.102,15.83647225759592,18.230886562499993,남강댐,2018110
2025-01-05 01:00:00,12.019,11.653,17.510975261798215,13.30640349206349,남강댐,2018110
2025-01-05 02:00:00,4.371,4.04,17.30453690732936,21.9190118154762,남강댐,2018110
2025-01-05 03:00:00,4.102,12.489,11.95546870419685,15.074534593253976,남강댐,2018110
2025-01-05 04:00:00,11.653,11.262,12.878737114686414,16.573447410714284,남강댐,2018110
2025-01-05 05:00:00,4.04,27.125,13.999740227934133,17.3306840625,남강댐,2018110
2025-01-05 06:00:00,12.489,4.24,11.946066176019386,12.520820481150789,남강댐,2018110
2025-01-05 07:00:00,11.262,20.307,14.72814629461737,15.675976821789323,남강댐,2018110
2025-01-05 08:00:00,27.125,37.461,14.324503615187027,18.40845767857143,남강댐,2018110
2025-01-05 09:00:00,4.24,7.287,15.432259615762659,12.866518660714288,남강댐,2018110
2025-01-05 10:00:00,20.307,22.502,12.096518983118198,12.582971319444443,남강댐,2018110
2025-01-05 11:00:00,37.461,0.0,16.17571306671028,13.610469745670994,남강댐,2018110
2025-01-05 12:00:00,7.287,21.286,20.59475734335583,14.7399575297619,남강댐,2018110
2025-01-05 13:00:00,22.502,0.0,14.334204158158817,14.463961488095242,남강댐,2018110
2025-01-05 14:00:00,0.0,15.776,17.640128686231698,11.891171359126979,남강댐,2018110
2025-01-05 15:00:00,21.286,11.969,12.025324225175044,14.446793134920634,남강댐,2018110
2025-01-05 16:00:00,0.0,11.925,16.205320709466413,15.396952291666665,남강댐,2018110
2025-01-05 17:00:00,15.776,11.992,11.916876270514953,13.197174732142855,남강댐,2018110
2025-01-05 18:00:00,11.969,19.614,14.898273431470805,15.541440838293639,남강댐,2018110
2025-01-05 19:00:00,11.925,19.606,14.72814629461737,15.06440897321429,남강댐,2018110
2025-01-05 20:00:00,11.992,12.019,14.139341814352491,13.771844166666662,남강댐,2018110
2025-01-05 21:00:00,19.614,4.045,16.002871687050636,14.265881785714285,남강댐,2018110
2025-01-05 22:00:00,19.606,16.946,16.17571306671028,19.940373035714288,남강댐,2018110
2025-01-05 23:00:00,12.019,6.299,16.005585929856842,13.789546845238096,남강댐,2018110
2025-01-06 00:00:00,4.045,26.931,15.175900495960901,13.450998051948053,남강댐,2018110
2025-01-06 01:00:00,16.946,0.0,12.096518983118198,16.112709747023807,남강댐,2018110
2025-01-06 02:00:00,6.299,19.585,15.175900495960901,13.019768988095237,남강댐,2018110
2025-01-06 03:00:00,26.931,14.824,14.490184852715714,11.943002232142854,남강댐,2018110
2025-01-06 04:00:00,0.0,1.207,17.170169643441493,18.932607053571424,남강댐,2018110
2025-01-06 05:00:00,19.585,24.342,12.388206970742745,14.913046339285719,남강댐,2018110
2025-01-06 06:00:00,14.824,0.0,16.716253464676573,18.0474312797619,남강댐,2018110
2025-01-06 07:00:00,1.207,41.141,16.69511372752526,18.093520406746027,남강댐,2018110
2025-01-06 08:00:00,24.342,0.0,13.5413715124049,11.918463090277779,남강댐,2018110
2025-01-06 09:00:00,0.0,14.518,17.170169643441493,15.691092202380952,남강댐,2018110
2025-01-06 10:00:00,41.141,37.385,12.558334107596181,9.164837177579361,남강댐,2018110
2025-01-06 11:00:00,0.0,7.088,20.262194269300117,23.901158333333335,남강댐,2018110
2025-01-06 12:00:00,14.518,23.463,11.916876270514953,15.511929583333332,남강댐,2018110
2025-01-06 13:00:00,37.385,0.0,19.37322945715942,13.99412251352814,남강댐,2018110
2025-01-06 14:00:00,7.088,2.907,21.627805002187177,14.628242301587298,남강댐,2018110
2025-01-06 15:00:00,23.463,37.908,14.95561774239519,14.972708229166667,남강댐,2018110
2025-01-06 16:00:00,0.0,0.0,19.32382033834926,14.471315952380952,남강댐,2018110
2025-01-06 17:00:00,2.907,57.878,12.717566265649667,13.435455615079363,남강댐,2018110
2025-01-06 18:00:00,37.908,0.0,13.330023562069348,13.777422038690478,남강댐,2018110
2025-01-06 19:00:00,0.0,37.266,22.278448995473394,21.86604116567461,남강댐,2018110
2025-01-06 20:00:00,57.878,0.0,11.514201570957411,12.070019404761906,남강댐,2018110
2025-01-06 21:00:00,0.0,57.6,28.619803559716978,23.87864818452381,남강댐,2018110
2025-01-06 22:00:00,37.266,0.0,11.96456825211581,9.058801666666666,남강댐,2018110
2025-01-06 23:00:00,0.0,65.225,27.13918743860843,34.83665991071429,남강댐,2018110
2025-01-07 00:00:00,57.6,0.0,11.628763912406482,5.138681056547618,남강댐,2018110
2025-01-07 01:00:00,0.0,50.028,29.63733093929503,29.632445367063486,남강댐,2018110
2025-01-07 02:00:00,65.225,0.0,11.772948541215252,4.6942530357142855,남강댐,2018110
2025-01-07 03:00:00,0.0,27.164,32.893134268811345,28.420046175595235,남강댐,2018110
2025-01-07 04:00:00,50.028,0.0,11.772948541215252,3.9620435416666666,남강댐,2018110
2025-01-07 05:00:00,0.0,47.343,33.270860117038694,36.95850351190476,남강댐,2018110
2025-01-07 06:00:00,27.164,0.0,14.327635614772761,10.062501889880949,남강댐,2018110
2025-01-07 07:00:00,0.0,43.999,25.103387661984204,25.432288630952385,남강댐,2018110
2025-01-07 08:00:00,47.343,0.0,13.877268933614362,10.062386799242422,남강댐,2018110
2025-01-07 09:00:00,0.0,21.982,28.017538046334987,35.3879543452381,남강댐,2018110
2025-01-07 10:00:00,43.999,7.599,13.733869759292391,10.871510133928568,남강댐,2018110
2025-01-07 11:00:00,0.0,27.77,32.157508631876695,31.378929806547625,남강댐,2018110
2025-01-07 12:00:00,21.982,0.0,14.327635614772761,10.627102380952381,남강댐,2018110
2025-01-07 13:00:00,7.599,12.237,23.487894734722907,21.500417172619045,남강댐,2018110
2025-01-07 14:00:00,27.77,47.668,16.429613496745727,15.953079613095237,남강댐,2018110
2025-01-07 15:00:00,0.0,0.0,20.963417076442507,27.548887581168838,남강댐,2018110
2025-01-07 16:00:00,12.237,65.055,14.622941367598802,17.01763207837302,남강댐,2018110
2025-01-07 17:00:00,47.668,0.0,18.710112636602684,23.285334999999996,남강댐,2018110
2025-01-07 18:00:00,0.0,65.174,27.84741090948155,34.03510186011904,남강댐,2018110
2025-01-07 19:00:00,65.055,0.0,14.976417754612589,11.689978541666665,남강댐,2018110
2025-01-07 20:00:00,0.0,74.322,33.2643948125234,35.25589416666669,남강댐,2018110
2025-01-07 21:00:00,65.174,0.0,13.939622468534015,10.045182886904765,남강댐,2018110
2025-01-07 22:00:00,0.0,42.399,35.6412689056613,37.4540150595238,남강댐,2018110
2025-01-07 23:00:00,74.322,0.0,15.366347285922341,10.04619092261905,남강댐,2018110
2025-01-08 00:00:00,0.0,22.623,40.2692687815561,34.733908125,남강댐,2018110
2025-01-08 01:00:00,42.399,8.951,16.713981683798615,4.871835416666666,남강댐,2018110
2025-01-08 02:00:00,0.0,19.543,31.083583208235844,40.14352177083334,남강댐,2018110
2025-01-08 03:00:00,22.623,4.704,17.972091874924246,13.983823660714284,남강댐,2018110
2025-01-08 04:00:00,8.951,12.355,24.443562163934452,22.398122202380957,남강댐,2018110
2025-01-08 05:00:00,19.543,39.75,16.678298196698535,22.65845848214286,남강댐,2018110
2025-01-08 06:00:00,4.704,0.0,19.998568142467427,18.821205590277778,남강댐,2018110
2025-01-08 07:00:00,12.355,29.645,16.484579585855034,22.434091994047627,남강댐,2018110
2025-01-08 08:00:00,39.75,0.0,18.07120665445197,26.014104404761902,남강댐,2018110
2025-01-08 09:00:00,0.0,45.229,24.217877639503406,28.12675129464285,남강댐,2018110
2025-01-08 10:00:00,29.645,0.0,14.793068504452238,17.94151194940476,남강댐,2018110
2025-01-08 11:00:00,0.0,55.697,24.345531585665032,26.680555624999993,남강댐,2018110
2025-01-08 12:00:00,45.229,0.647,14.296080770420605,10.354495223214283,남강댐,2018110
2025-01-08 13:00:00,0.0,37.325,28.022980003964935,29.514332529761894,남강댐,2018110
2025-01-08 14:00:00,55.697,0.0,15.280049868599313,8.008277232142856,남강댐,2018110
2025-01-08 15:00:00,0.647,20.607,36.445906647865236,35.08201944940477,남강댐,2018110
2025-01-08 16:00:00,37.325,0.0,16.197284675655027,13.002057926587302,남강댐,2018110
2025-01-08 17:00:00,0.0,46.349,29.89001154701336,31.719185714285707,남강댐,2018110
2025-01-08 18:00:00,20.607,0.0,16.324182405238076,14.472291086309522,남강댐,2018110
2025-01-08 19:00:00,0.0,100.213,21.99608688365482,28.54339197104978,남강댐,2018110
2025-01-08 20:00:00,46.349,0.0,14.12595363356717,14.730745266504332,남강댐,2018110
2025-01-08 21:00:00,0.0,46.222,28.017538046334987,37.561005029761894,남강댐,2018110
2025-01-08 22:00:00,100.213,0.0,13.769495331680579,9.767070505952386,남강댐,2018110
2025-01-08 23:00:00,0.0,36.323,49.450892393331976,49.928780714285715,남강댐,2018110
2025-01-09 00:00:00,46.222,0.0,12.021633241168063,6.299105625,남강댐,2018110
2025-01-09 01:00:00,0.0,65.213,34.15383946272498,37.343419806547615,남강댐,2018110
2025-01-09 02:00:00,36.323,25.69,14.576320314725569,11.965523576839825,남강댐,2018110
2025-01-09 03:00:00,0.0,0.0,28.52797536189854,30.03822642361113,남강댐,2018110
2025-01-09 04:00:00,65.213,0.0,16.92795933828548,14.738470238095243,남강댐,2018110
2025-01-09 05:00:00,25.69,0.0,34.608478239436295,24.88421602182539,남강댐,2018110
2025-01-09 06:00:00,0.0,29.704,24.437746199740566,23.93797610119048,남강댐,2018110
2025-01-09 07:00:00,0.0,0.0,25.03373286906827,38.912402425595246,남강댐,2018110
2025-01-09 08:00:00,0.0,53.014,15.965827401359642,25.90504312500001,남강댐,2018110
2025-01-09 09:00:00,29.704,0.0,14.746447451579005,15.28284967261905,남강댐,2018110
2025-01-09 10:00:00,0.0,13.693,20.79328993958907,27.36871238095238,남강댐,2018110
2025-01-09 11:00:00,53.014,22.331,15.873815724079684,16.075662959956716,남강댐,2018110
2025-01-09 12:00:00,0.0,65.419,27.46320906289013,31.94881571428571,남강댐,2018110
2025-01-09 13:00:00,13.693,0.0,14.746447451579005,12.127149479166667,남강댐,2018110
2025-01-09 14:00:00,22.331,125.874,22.211177239993667,32.59018065476191,남강댐,2018110
2025-01-09 15:00:00,65.419,0.0,19.736429328334037,22.135544345238095,남강댐,2018110
2025-01-09 16:00:00,0.0,153.387,30.55807397181101,31.65593169642857,남강댐,2018110
2025-01-09 17:00:00,125.874,0.0,19.662035683796805,16.101816031746033,남강댐,2018110
2025-01-09 18:00:00,0.0,106.284,66.00399632816828,53.160713412698406,남강댐,2018110
2025-01-09 19:00:00,153.387,0.0,54.74237017967482,72.7023582142857,남강댐,2018110
2025-01-09 20:00:00,0.0,53.843,93.90137438937653,87.18306339285715,남강댐,2018110
2025-01-09 21:00:00,106.284,0.0,43.273416889254584,55.728815788690476,남강댐,2018110
2025-01-09 22:00:00,0.0,19.688,77.9116706372435,52.03286517857144,남강댐,2018110
2025-01-09 23:00:00,53.843,0.0,27.74421452304532,17.24284364583334,남강댐,2018110
2025-01-10 00:00:00,0.0,50.104,54.65343254809895,54.35525821428571,남강댐,2018110
2025-01-10 01:00:00,19.688,0.0,22.45410274163786,25.594671175595245,남강댐,2018110
2025-01-10 02:00:00,0.0,57.72,32.384684132657505,46.799583482142864,남강댐,2018110
2025-01-10 03:00:00,50.104,0.0,20.868811499985725,18.347590714285715,남강댐,2018110
2025-01-10 04:00:00,0.0,57.597,36.26368345098339,38.29375842261905,남강댐,2018110
