feature_set,model,eval_scope,train_rows,test_rows,target_mean,target_max,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2
기본피처,GradientBoosting,2025_전체,17464,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,1.2104823867171959,5.420633774770566,0.4012908674690664
기본피처,GradientBoosting,2025_강우일,17464,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,2.512757514142115,8.26962304431309,0.5091043126355322
기본피처,GradientBoosting,2025_강한강우,17464,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,3.7746857155431135,10.371806966719829,0.509910001730564
기본피처,GradientBoosting,2025_유입량증가상위5퍼센트,17464,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,3.1521805011552853,8.8234214786616,-0.03028599115894215
기본피처,GradientBoosting,2025_방류량상위5퍼센트,17464,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,13.830508036276088,20.744056314326123,-0.176292265109951
기본피처,RandomForest,2025_전체,17464,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,0.7836705721308679,2.7811023747453776,0.8424023631269494
기본피처,RandomForest,2025_강우일,17464,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,1.6280290028928972,4.968946621099787,0.8227662394300245
기본피처,RandomForest,2025_강한강우,17464,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,2.3868919916511793,6.345089362071232,0.8165817799200646
기본피처,RandomForest,2025_유입량증가상위5퍼센트,17464,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,1.4354336730394799,3.7548340217686955,0.8134199380549664
기본피처,RandomForest,2025_방류량상위5퍼센트,17464,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,4.3672844428372555,9.138746533839477,0.771702508189537
기본피처,XGBoost,2025_전체,17464,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,0.8314475120183052,3.358791619525154,0.7701302248030899
기본피처,XGBoost,2025_강우일,17464,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,1.6987260828707447,6.047993504940378,0.7374328307951012
기본피처,XGBoost,2025_강한강우,17464,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,2.4037060423301724,7.657402240826869,0.7328655425673738
기본피처,XGBoost,2025_유입량증가상위5퍼센트,17464,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,1.3000193056010743,2.914858041563522,0.8875605890132374
기본피처,XGBoost,2025_방류량상위5퍼센트,17464,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,5.774915091008407,12.027312276550957,0.604574156242475
기본피처_예측유입량추가,GradientBoosting,2025_전체,14550,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,1.1855933190206405,5.478334263092003,0.38847698852226475
기본피처_예측유입량추가,GradientBoosting,2025_강우일,14550,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,2.4947611167264547,8.483044269071884,0.4834394253263218
기본피처_예측유입량추가,GradientBoosting,2025_강한강우,14550,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,3.7722351916187926,10.6725776478185,0.4810737559429056
기본피처_예측유입량추가,GradientBoosting,2025_유입량증가상위5퍼센트,14550,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,3.1373339528787345,8.814103474186672,-0.028111066084302916
기본피처_예측유입량추가,GradientBoosting,2025_방류량상위5퍼센트,14550,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,14.051083165893278,21.161956067941592,-0.22416368706854306
기본피처_예측유입량추가,RandomForest,2025_전체,14550,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,0.7696479703976592,2.829873611909745,0.836826425183902
기본피처_예측유입량추가,RandomForest,2025_강우일,14550,2366,6.668643702451395,146.316,0.4564150464919696,2.9200289589110446,0.9387942665226207,1.5985092022183303,5.101510963447125,0.8131834109260898
기본피처_예측유입량추가,RandomForest,2025_강한강우,14550,1415,8.294612720848056,146.316,0.614216961130742,3.7444009860282876,0.9361248856417062,2.342708930692361,6.525440382703242,0.8060067399916201
기본피처_예측유입량추가,RandomForest,2025_유입량증가상위5퍼센트,14550,418,6.885842105263158,47.57,0.36182775119617233,1.5231714239056848,0.9692969647576741,1.518937156232811,4.072660863070916,0.7804971119124416
기본피처_예측유입량추가,RandomForest,2025_방류량상위5퍼센트,14550,520,25.735315384615387,146.316,1.388942307692308,5.898556420202123,0.9048914958039201,4.601551139950905,9.73305192654129,0.7410440128499631
기본피처_예측유입량추가,XGBoost,2025_전체,14550,8735,5.017290326273613,146.316,0.2974737263880939,1.6659515110610632,0.9434489773767772,0.9436270279581369,2.981383734384945,0.818886215830327
