obsrdt,dam_code,inflowqy,target_inflow_3h,pred_inflow_HistGradientBoosting
2025-01-01 00:00:00,1003110,0.0,0.43,5.48476194962613
2025-01-01 01:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-01 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-01 03:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-01 04:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-01 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-01 06:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-01 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-01 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-01 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-01 10:00:00,1003110,0.0,208.68,3.410872726730917
2025-01-01 11:00:00,1003110,0.0,0.43,3.591383031179953
2025-01-01 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-01 13:00:00,1003110,208.68,0.0,14.63161176056628
2025-01-01 14:00:00,1003110,0.43,0.0,13.642993672393487
2025-01-01 15:00:00,1003110,0.0,0.0,13.117453086626023
2025-01-01 16:00:00,1003110,0.0,0.0,9.370781812990938
2025-01-01 17:00:00,1003110,0.0,0.0,13.6706677884312
2025-01-01 18:00:00,1003110,0.0,0.43,13.6706677884312
2025-01-01 19:00:00,1003110,0.0,0.43,10.119504749079798
2025-01-01 20:00:00,1003110,0.0,0.43,10.939783822814281
2025-01-01 21:00:00,1003110,0.43,0.43,5.48476194962613
2025-01-01 22:00:00,1003110,0.43,0.43,3.591383031179953
2025-01-01 23:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-02 00:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-02 01:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-02 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-02 03:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-02 04:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-02 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-02 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-02 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-02 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-02 09:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-02 10:00:00,1003110,0.0,0.0,3.410872726730917
2025-01-02 11:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-02 12:00:00,1003110,0.0,0.0,3.591383031179953
2025-01-02 13:00:00,1003110,0.0,140.74,5.48476194962613
2025-01-02 14:00:00,1003110,0.43,141.34,5.48476194962613
2025-01-02 15:00:00,1003110,0.0,0.0,5.48476194962613
2025-01-02 16:00:00,1003110,140.74,0.0,12.920853954056264
2025-01-02 17:00:00,1003110,141.34,0.0,38.83274678058621
2025-01-02 18:00:00,1003110,0.0,0.43,34.18861625082015
2025-01-02 19:00:00,1003110,0.0,0.43,21.410455355670187
2025-01-02 20:00:00,1003110,0.0,0.43,21.646282824894577
2025-01-02 21:00:00,1003110,0.43,0.43,24.309985562611946
2025-01-02 22:00:00,1003110,0.43,0.43,14.007469089144527
2025-01-02 23:00:00,1003110,0.43,0.43,8.045615526184585
2025-01-03 00:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-03 01:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-03 02:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-03 03:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-03 04:00:00,1003110,0.0,0.43,3.410872726730917
2025-01-03 05:00:00,1003110,0.43,0.43,3.410872726730917
2025-01-03 06:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-03 07:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-03 08:00:00,1003110,0.43,0.0,3.410872726730917
2025-01-03 09:00:00,1003110,0.0,0.0,3.410872726730917
