댐코드,댐이름,유입량성능등급,입력변수세트,방류량모델,유입량예측모델,학습행수,평가행수,전체_기준선_MAE,전체_모델_MAE,전체_개선율(%),전체_모델_R2
1003110,충주댐,부진,기본변수,GradientBoosting,XGBoost,17472,8760,22.13576484018265,26.34992344853288,-19.037781792388518,-0.5701170175803405
1003110,충주댐,부진,기본변수,RandomForest,XGBoost,17472,8760,22.13576484018265,32.07561428793479,-44.904025316118805,-0.724377141710641
1003110,충주댐,부진,기본변수,XGBoost,XGBoost,17472,8760,22.13576484018265,25.19779119281355,-13.832936764274173,-0.32042890162862747
1003110,충주댐,부진,예측유입량포함,GradientBoosting,XGBoost,17472,8760,22.13576484018265,25.59334733594773,-15.619891703441818,-0.4369955730878279
1003110,충주댐,부진,예측유입량포함,RandomForest,XGBoost,17472,8760,22.13576484018265,32.12924601230999,-45.14631070703443,-0.7661402402550557
1003110,충주댐,부진,예측유입량포함,XGBoost,XGBoost,17472,8760,22.13576484018265,25.299966888878444,-14.294523236675685,-0.3084394249658535
1006110,횡성댐,양호,기본변수,GradientBoosting,XGBoost,17472,8760,0.20856198630136985,0.8281464432372854,-297.07448990278726,0.810229977721375
1006110,횡성댐,양호,기본변수,RandomForest,XGBoost,17472,8760,0.20856198630136985,0.8957447950788241,-329.4861259062246,0.8345546489798632
1006110,횡성댐,양호,기본변수,XGBoost,XGBoost,17472,8760,0.20856198630136985,0.7590616939554475,-263.9501653281204,0.8622313623109426
1006110,횡성댐,양호,예측유입량포함,GradientBoosting,XGBoost,17472,8760,0.20856198630136985,0.8865782502803491,-325.09100819516215,0.7702337761924265
1006110,횡성댐,양호,예측유입량포함,RandomForest,XGBoost,17472,8760,0.20856198630136985,0.8342461820008823,-299.99915458966024,0.8590089371177366
1006110,횡성댐,양호,예측유입량포함,XGBoost,XGBoost,17472,8760,0.20856198630136985,0.8473471782610298,-306.2807385410216,0.8271102901427126
1012110,소양강댐,부진,기본변수,GradientBoosting,XGBoost,17472,8760,14.51364611872146,15.34037508798691,-5.6962183210394945,0.027325785830593974
1012110,소양강댐,부진,기본변수,RandomForest,XGBoost,17472,8760,14.51364611872146,17.101861292965534,-17.83297700021416,0.060803941231370895
1012110,소양강댐,부진,기본변수,XGBoost,XGBoost,17472,8760,14.51364611872146,15.322120763213121,-5.570444792978601,0.048776175134018884
1012110,소양강댐,부진,예측유입량포함,GradientBoosting,XGBoost,17472,8760,14.51364611872146,15.339557169176741,-5.690582805308448,0.028762208441328596
1012110,소양강댐,부진,예측유입량포함,RandomForest,XGBoost,17472,8760,14.51364611872146,17.169675615763804,-18.30022225508361,0.05095633148072021
1012110,소양강댐,부진,예측유입량포함,XGBoost,XGBoost,17472,8760,14.51364611872146,15.270954937117521,-5.217908802524761,0.04600012748867388
2001110,안동댐,주의,기본변수,GradientBoosting,XGBoost,17221,8760,31.34787100456621,23.006756655787033,26.60823233438784,0.28803826108321584
2001110,안동댐,주의,기본변수,RandomForest,XGBoost,17221,8760,31.34787100456621,24.55707727310782,21.66269514911946,0.1510989045030494
2001110,안동댐,주의,기본변수,XGBoost,XGBoost,17221,8760,31.34787100456621,23.834125124241652,23.96891922654041,0.25869260437409447
2001110,안동댐,주의,예측유입량포함,GradientBoosting,XGBoost,17221,8760,31.34787100456621,23.664761219474876,24.509191657615894,0.27230235990842
2001110,안동댐,주의,예측유입량포함,RandomForest,XGBoost,17221,8760,31.34787100456621,24.404473884733424,22.149501377051706,0.16028097033018063
2001110,안동댐,주의,예측유입량포함,XGBoost,XGBoost,17221,8760,31.34787100456621,23.675060034468725,24.4763383420196,0.27221338079460666
2002110,임하댐,양호,기본변수,GradientBoosting,GradientBoosting,17303,8760,9.903031392694063,9.950797240011033,-0.4823356144484159,0.05406751785067454
2002110,임하댐,양호,기본변수,RandomForest,GradientBoosting,17303,8760,9.903031392694063,10.443414243987077,-5.456741777994162,-0.0009620549512328047
2002110,임하댐,양호,기본변수,XGBoost,GradientBoosting,17303,8760,9.903031392694063,9.766547714805112,1.3782010020652962,0.1436524023699296
