댐코드,댐이름,방류량_모델,입력변수세트,실사용가능여부,유입량예측모델,학습행수,평가행수,실제평균,실제최대,기준선_MAE,기준선_RMSE,기준선_R2,모델_MAE,모델_RMSE,모델_R2,MAE_개선율(%),고방류_기준값,고방류_건수,고방류_MAE,방류변화_건수,방류변화_MAE
4001110,섬진강댐,XGBoost,실제미래유입량_참고용,불가_참고용,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,2.123629386834711,7.953361686969167,0.9191777793707039,-84.97721563011098,39.4936,437,17.797719407454785,522,17.128982210586813
3001110,용담댐,GradientBoosting,기본변수,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,7.997826863703146,18.95130814360314,0.12846868183474713,-848.8245450590872,27.491,1371,6.799125225385147,486,13.787391994628372
3001110,용담댐,RandomForest,기본변수,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,2.0248462681137838,9.113008697436303,0.7984753474366952,-140.2182332649407,27.491,1371,6.821514767671569,486,9.106526899105411
3001110,용담댐,XGBoost,기본변수,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.9865527784517407,7.062811782106285,0.8789513703755764,-135.67527384277466,27.491,1371,5.060077911343564,486,7.714914241241329
3001110,용담댐,GradientBoosting,예측유입량포함,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,7.88192782141397,18.650263010722913,0.1559376416312187,-835.0748280488474,27.491,1371,6.810906501071652,486,13.566214068126493
3001110,용담댐,RandomForest,예측유입량포함,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.9639715592398552,8.852350057064239,0.8098388609125061,-132.9963442521838,27.491,1371,6.581972600793676,486,8.94722084132096
3001110,용담댐,XGBoost,예측유입량포함,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.4542415194438798,6.985692031102991,0.8815804292030738,-72.52437088310411,27.491,1371,5.044585622825038,486,7.247694613484199
3001110,용담댐,GradientBoosting,실제미래유입량_참고용,불가_참고용,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,8.537564922432614,20.26661789160074,0.0032937759820071966,-912.8565285906666,27.491,1371,6.860728707588811,486,14.253018036045866
3001110,용담댐,RandomForest,실제미래유입량_참고용,불가_참고용,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,2.0279268472768557,9.251517878319559,0.7923028216985009,-140.58369868107584,27.491,1371,6.966508068120537,486,9.09798648220057
3001110,용담댐,XGBoost,실제미래유입량_참고용,불가_참고용,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.442955602223388,7.014502206443651,0.8806016503580911,-71.18546277033842,27.491,1371,5.020445006144473,486,7.152641399069578
2015110,합천댐,GradientBoosting,기본변수,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,13.244338604005765,16.886752236023717,0.5001734996789131,32.910932917163,48.485,495,14.79674960353659,4282,15.67088772567415
2015110,합천댐,RandomForest,기본변수,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,13.098272172788525,20.92384290863454,0.23262098792056485,33.65083098950012,48.485,495,44.49248124629138,4282,13.629080194473767
2015110,합천댐,XGBoost,기본변수,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,12.785081052045822,16.324381575188948,0.5329100846951503,35.23729753475299,48.485,495,12.16746264966907,4282,15.468265043318537
2015110,합천댐,GradientBoosting,예측유입량포함,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,12.903558030400516,16.50586162021919,0.5224669713027377,34.63715356484528,48.485,495,14.049593912649357,4282,15.925802254121505
2015110,합천댐,RandomForest,예측유입량포함,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,12.966008885676573,20.446465369978014,0.26723705737002157,34.320809370977514,48.485,495,42.51742641547237,4282,13.671256128655777
2015110,합천댐,XGBoost,예측유입량포함,가능,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,12.86414606246547,16.40877044604776,0.5280683608087573,34.83679450122704,48.485,495,12.023554171121,4282,15.892528979294982
2015110,합천댐,GradientBoosting,실제미래유입량_참고용,불가_참고용,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,13.031989750099,16.510629658687865,0.5221910420884908,33.986583950458524,48.485,495,14.38653735269513,4282,15.797768508791759
2015110,합천댐,RandomForest,실제미래유입량_참고용,불가_참고용,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,13.102058143002713,20.97135110038407,0.22913231927512467,33.63165319457449,48.485,495,45.3527673893699,4282,13.583844756127869
2015110,합천댐,XGBoost,실제미래유입량_참고용,불가_참고용,RandomForest,17381,8695,16.051598504887863,116.868,19.741426106958023,28.985335070408894,-0.47259616725737374,12.657467128769918,16.081141322086957,0.5467260583279947,35.88372460939541,48.485,495,12.372703396483143,4282,15.435773112397658
