모델,MAE,RMSE,R2,댐코드,댐이름
GradientBoosting,14.653862104650544,25.22082517297624,0.809926131738939,2018110,남강댐
XGBoost,14.692893994665559,25.390856854576356,0.8073546440421951,2018110,남강댐
RandomForest,14.760536623492813,25.753956229259853,0.8018054370265522,2018110,남강댐
GradientBoosting,8.870318516529823,18.017320631820425,0.8225752842757734,4001110,섬진강댐
RandomForest,8.894743631748744,18.05341287708761,0.8218637389377693,4001110,섬진강댐
XGBoost,8.912401441318506,18.80538545590799,0.8067149860955231,4001110,섬진강댐
GradientBoosting,9.897116953958829,24.333058404697113,0.7214605814064883,3001110,용담댐
XGBoost,9.943490475162582,24.687908208500513,0.7132774465615765,3001110,용담댐
RandomForest,10.25582355129348,25.543258832381895,0.6930653803341131,3001110,용담댐
RandomForest,5.414002467904978,17.94579780542789,0.7636020628865684,2015110,합천댐
GradientBoosting,5.668163127621446,17.67170044614546,0.770768221311077,2015110,합천댐
XGBoost,5.676881040604488,18.275053337613368,0.7548479957271018,2015110,합천댐
