댐코드,댐이름,방류량_모델,입력변수세트,실사용가능여부,유입량예측모델,학습행수,평가행수,실제평균,실제최대,기준선_MAE,기준선_RMSE,기준선_R2,모델_MAE,모델_RMSE,모델_R2,MAE_개선율(%)
2018110,남강댐,GradientBoosting,기본변수,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.284229637531663,22.844922828894568,0.8973786940961641,-11.334650585896268
2018110,남강댐,RandomForest,기본변수,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.797642186442308,28.03649052026582,0.8454370330718669,-15.987820416321766
2018110,남강댐,XGBoost,기본변수,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.353157762824807,22.205169040189663,0.9030458700107391,-11.959361208498654
2018110,남강댐,GradientBoosting,예측유입량포함,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.2991257117196,22.834785424677236,0.8974697500255839,-11.469656952901051
2018110,남강댐,RandomForest,예측유입량포함,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.89906926745542,28.306807368137804,0.842442193766175,-16.907076157849183
2018110,남강댐,XGBoost,예측유입량포함,가능,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.384481697626342,22.189785701569072,0.9031801596056578,-12.243256856740947
2018110,남강댐,GradientBoosting,실제미래유입량_참고용,불가_참고용,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.234059263721308,22.725389546190737,0.8984497915784041,-10.879945553284877
2018110,남강댐,RandomForest,실제미래유입량_참고용,불가_참고용,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.769149762704956,27.764800625153438,0.8484181285123412,-15.72958736998962
2018110,남강댐,XGBoost,실제미래유입량_참고용,불가_참고용,GradientBoosting,16983,8578,45.90362543716484,505.385,11.033608650034973,25.013820274117975,0.8769679681171832,12.390779161624014,22.299350271226285,0.9022216813717575,-12.300332145501097
4001110,섬진강댐,GradientBoosting,기본변수,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8958229161018876,7.263117193460577,0.932597591353901,-65.13429627708364
4001110,섬진강댐,RandomForest,기본변수,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,3.1866392914804913,8.429303429828876,0.9092152947633316,-177.5699314625514
4001110,섬진강댐,XGBoost,기본변수,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,2.1261714050408766,7.991127485748389,0.9184084034362616,-85.19863630396894
4001110,섬진강댐,GradientBoosting,예측유입량포함,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8450796808434184,7.055127205606947,0.9364026513920641,-60.71434314007901
4001110,섬진강댐,RandomForest,예측유입량포함,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,3.2394643746668486,8.574422366096393,0.9060624869933565,-182.17122247115148
4001110,섬진강댐,XGBoost,예측유입량포함,가능,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,2.083212491109871,7.697686134225626,0.9242906162236179,-81.45673089678526
4001110,섬진강댐,GradientBoosting,실제미래유입량_참고용,불가_참고용,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,1.8706637612265313,7.156243820707841,0.9345665873976265,-62.94282612447534
4001110,섬진강댐,RandomForest,실제미래유입량_참고용,불가_참고용,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,3.251833666647003,8.60762041560748,0.9053336730423671,-183.24864078339996
4001110,섬진강댐,XGBoost,실제미래유입량_참고용,불가_참고용,GradientBoosting,17353,8664,21.617458910433978,235.626,1.1480491689750694,6.305665294633145,0.949196791381443,2.123629386834711,7.953361686969167,0.9191777793707039,-84.97721563011098
3001110,용담댐,GradientBoosting,기본변수,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,7.997826863703146,18.95130814360314,0.12846868183474713,-848.8245450590872
3001110,용담댐,RandomForest,기본변수,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,2.0248462681137838,9.113008697436303,0.7984753474366952,-140.2182332649407
3001110,용담댐,XGBoost,기본변수,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.9865527784517407,7.062811782106285,0.8789513703755764,-135.67527384277466
3001110,용담댐,GradientBoosting,예측유입량포함,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,7.88192782141397,18.650263010722913,0.1559376416312187,-835.0748280488474
3001110,용담댐,RandomForest,예측유입량포함,가능,GradientBoosting,17280,8668,24.604621481310566,215.814,0.8429194739270882,4.665467383332317,0.9471804220457248,1.9639715592398552,8.852350057064239,0.8098388609125061,-132.9963442521838
