댐코드,댐이름,평가구간,평가건수,유입급증기준값,기준선,기준선_MAE,모델_MAE,개선율(%)
3001110,용담댐,유입량급증,867,16.458299999999998,최근3시간변화량반영,1.4676447520184548,2.4725677182330665,-68.4718127348283
3001110,용담댐,방류량변화,486,16.458299999999998,현재방류량유지,10.163386831275721,7.247694613484199,28.688194852714677
3001110,용담댐,방류량변화,486,16.458299999999998,최근3시간평균,8.334806584362141,7.247694613484199,13.043037770277651
3001110,용담댐,방류량변화,486,16.458299999999998,최근6시간평균,7.666115912208505,7.247694613484199,5.4580612074748105
3001110,용담댐,방류량변화,486,16.458299999999998,최근3시간변화량반영,13.460172839506173,7.247694613484199,46.15452045153603
4001110,섬진강댐,전체,8664,16.496000000000002,현재방류량유지,1.1480491689750694,1.8450796808434187,-60.71434314007903
4001110,섬진강댐,전체,8664,16.496000000000002,최근3시간평균,1.4414530240073873,1.8450796808434187,-28.001374315613
4001110,섬진강댐,전체,8664,16.496000000000002,최근6시간평균,1.8262983995075408,1.8450796808434187,-1.028379663528272
4001110,섬진강댐,전체,8664,16.496000000000002,최근3시간변화량반영,1.8582363804247461,1.8450796808434187,0.7080207728104101
4001110,섬진강댐,강우발생,673,16.496000000000002,현재방류량유지,1.429665676077266,3.0159148301488528,-110.95245417263962
4001110,섬진강댐,강우발생,673,16.496000000000002,최근3시간평균,1.9472867756315009,3.0159148301488528,-54.877795499371075
4001110,섬진강댐,강우발생,673,16.496000000000002,최근6시간평균,2.751866518078257,3.0159148301488528,-9.59524418557161
4001110,섬진강댐,강우발생,673,16.496000000000002,최근3시간변화량반영,2.6627518573551265,3.0159148301488528,-13.263082394185915
4001110,섬진강댐,최근24시간누적강우,2738,16.496000000000002,현재방류량유지,1.6939777209642077,2.831946191835845,-67.17729854344887
4001110,섬진강댐,최근24시간누적강우,2738,16.496000000000002,최근3시간평균,2.178744460676893,2.831946191835845,-29.98064908245434
4001110,섬진강댐,최근24시간누적강우,2738,16.496000000000002,최근6시간평균,2.86829321889457,2.831946191835845,1.267200536517434
4001110,섬진강댐,최근24시간누적강우,2738,16.496000000000002,최근3시간변화량반영,2.8926621621621624,2.831946191835845,2.0989651373921436
4001110,섬진강댐,유입량급증,867,16.496000000000002,현재방류량유지,1.8242895040369087,2.774331017885742,-52.07734363139832
4001110,섬진강댐,유입량급증,867,16.496000000000002,최근3시간평균,2.2480634371395602,2.774331017885742,-23.40981896026054
4001110,섬진강댐,유입량급증,867,16.496000000000002,최근6시간평균,2.6694686658977314,2.774331017885742,-3.928210633360094
4001110,섬진강댐,유입량급증,867,16.496000000000002,최근3시간변화량반영,2.728852364475202,2.774331017885742,-1.6665853383125853
4001110,섬진강댐,방류량변화,522,16.496000000000002,현재방류량유지,16.350726053639846,17.12466796171865,-4.733379456911127
4001110,섬진강댐,방류량변화,522,16.496000000000002,최근3시간평균,17.42351660280971,17.12466796171865,1.71520277968953
4001110,섬진강댐,방류량변화,522,16.496000000000002,최근6시간평균,17.942094508301402,17.12466796171865,4.5559148415172315
4001110,섬진강댐,방류량변화,522,16.496000000000002,최근3시간변화량반영,16.597862068965515,17.12466796171865,-3.1739382491805994
