댐코드,댐이름,예측대상,모델,학습행수,평가행수,평가기간_시작,평가기간_끝,실제평균,실제최대,기준선_MAE,기준선_RMSE,기준선_R2,모델_MAE,모델_RMSE,모델_R2,MAE_개선율(%)
1012110,소양강댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,11.62654714611872,1414.111,16.85693812785388,79.27753359779375,0.04267582365737599,17.50599743436561,75.25535851096286,0.13735199136658127,-3.850398581218291
1012110,소양강댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,11.62654714611872,1414.111,16.85693812785388,79.27753359779375,0.04267582365737599,20.44877548166688,72.61419640557683,0.1968404325863219,-21.307768507959093
1003110,충주댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,29.66898116438356,2316.18,30.068835159817358,119.75679908852736,0.4650587573497905,34.87759389293614,106.3956967577663,0.5777653702751069,-15.992500898554901
1003110,충주댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,29.66898116438356,2316.18,30.068835159817358,119.75679908852736,0.4650587573497905,44.63643722832826,120.33299399310009,0.4598987676586451,-48.44751049079012
1006110,횡성댐,3시간 뒤 유입량,GradientBoosting,17472,8760,2025-01-01,2025-12-31 23:00:00,5.557708219178082,149.106,2.408911073059361,5.341165572037847,0.757204238740196,2.293867704815327,4.651516808639109,0.81585573067984,4.775741600868925
1006110,횡성댐,3시간 뒤 유입량,RandomForest,17472,8760,2025-01-01,2025-12-31 23:00:00,5.557708219178082,149.106,2.408911073059361,5.341165572037847,0.757204238740196,2.307130397866332,4.691801545910227,0.8126523341484135,4.225173620202008
2001110,안동댐,3시간 뒤 유입량,GradientBoosting,17221,8760,2025-01-01,2025-12-31 23:00:00,25.50172283105023,527.306,29.76253105022831,49.732390896910026,0.047338612019150794,39.87492330611062,56.861891485578525,-0.2453817311355817,-33.97692299359981
2001110,안동댐,3시간 뒤 유입량,RandomForest,17221,8760,2025-01-01,2025-12-31 23:00:00,25.50172283105023,527.306,29.76253105022831,49.732390896910026,0.047338612019150794,29.05027946163233,38.74099799272071,0.4219019629952808,2.393114978675576
2002110,임하댐,3시간 뒤 유입량,GradientBoosting,17303,8760,2025-01-01,2025-12-31 23:00:00,14.994960730593608,747.933,9.149465296803653,21.520940985160433,0.7771035280597229,8.095891105450404,18.15662363308437,0.8413460593049167,11.515144953020512
2002110,임하댐,3시간 뒤 유입량,RandomForest,17303,8760,2025-01-01,2025-12-31 23:00:00,14.994960730593608,747.933,9.149465296803653,21.520940985160433,0.7771035280597229,8.860785860567113,18.375905342641055,0.8374907180369047,3.155150895401395
2002111,성덕댐,3시간 뒤 유입량,GradientBoosting,17447,8760,2025-01-01,2025-12-31 23:00:00,0.945628310502283,61.06,0.4428848173515982,1.5531570161386845,0.6794957898753222,0.43898873156344365,1.5306210211372202,0.688729215636714,0.8797063334554329
2002111,성덕댐,3시간 뒤 유입량,RandomForest,17447,8760,2025-01-01,2025-12-31 23:00:00,0.945628310502283,61.06,0.4428848173515982,1.5531570161386845,0.6794957898753222,0.42751659076861603,1.4646181124494464,0.714995436344769,3.470027867489888
2004101,영주댐,3시간 뒤 유입량,GradientBoosting,17436,8760,2025-01-01,2025-12-31 23:00:00,5.668001598173516,116.763,3.959093150684932,6.453198094937998,0.4843315411913365,3.674515066770204,6.1654205785697265,0.5292980583585882,7.18796131042017
2004101,영주댐,3시간 뒤 유입량,RandomForest,17436,8760,2025-01-01,2025-12-31 23:00:00,5.668001598173516,116.763,3.959093150684932,6.453198094937998,0.4843315411913365,3.634119394755066,5.4967228718462104,0.6258650689959588,8.208287695217392
