댐코드,댐이름,입력변수세트,방류량모델,유입량예측모델,평가구간,평가건수,기준선,기준선_MAE,모델_MAE,개선율(%)
1003110,충주댐,기본변수,XGBoost,XGBoost,강우발생,653,최근3시간평균,21.85280245022971,56.12688973131808,-156.84069518840175
1003110,충주댐,기본변수,XGBoost,XGBoost,강우발생,653,최근6시간평균,22.00339203675345,56.12688973131808,-155.082896480535
1003110,충주댐,기본변수,XGBoost,XGBoost,강우발생,653,최근3시간변화량반영,32.02872894333844,56.12688973131808,-75.23920424882094
1003110,충주댐,기본변수,XGBoost,XGBoost,최근24시간누적강우,2531,현재방류량유지,22.924440932437772,34.76343114624189,-51.643528619501076
1003110,충주댐,기본변수,XGBoost,XGBoost,최근24시간누적강우,2531,최근3시간평균,23.19655603845647,34.76343114624189,-49.86462252676323
1003110,충주댐,기본변수,XGBoost,XGBoost,최근24시간누적강우,2531,최근6시간평균,23.612258659291456,34.76343114624189,-47.22619994916257
1003110,충주댐,기본변수,XGBoost,XGBoost,최근24시간누적강우,2531,최근3시간변화량반영,34.73378901619913,34.76343114624189,-0.0853409054478195
1003110,충주댐,기본변수,XGBoost,XGBoost,유입량급증,1056,현재방류량유지,21.704412878787878,29.995322614583102,-38.19918917916496
1003110,충주댐,기본변수,XGBoost,XGBoost,유입량급증,1056,최근3시간평균,22.4352398989899,29.995322614583102,-33.69735625574292
1003110,충주댐,기본변수,XGBoost,XGBoost,유입량급증,1056,최근6시간평균,24.244839015151513,29.995322614583102,-23.718382274420943
1003110,충주댐,기본변수,XGBoost,XGBoost,유입량급증,1056,최근3시간변화량반영,31.20103219696969,29.995322614583102,3.864325945292574
1003110,충주댐,기본변수,XGBoost,XGBoost,방류량변화,828,현재방류량유지,232.67039855072463,121.44254080442991,47.80490274616771
1003110,충주댐,기본변수,XGBoost,XGBoost,방류량변화,828,최근3시간평균,156.95485909822864,121.44254080442991,22.62581642762248
1003110,충주댐,기본변수,XGBoost,XGBoost,방류량변화,828,최근6시간평균,140.12335144927536,121.44254080442991,13.331689865845025
1003110,충주댐,기본변수,XGBoost,XGBoost,방류량변화,828,최근3시간변화량반영,344.5727415458937,121.44254080442991,64.75561582161455
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,전체,8760,현재방류량유지,22.13576484018265,25.59334733594773,-15.619891703441818
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,전체,8760,최근3시간평균,21.763304414003045,25.59334733594773,-17.59862771335561
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,전체,8760,최근6시간평균,22.06709817351598,25.59334733594773,-15.979668621150237
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,전체,8760,최근3시간변화량반영,33.112062785388126,25.59334733594773,22.706877243414436
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,강우발생,653,현재방류량유지,21.584395099540583,64.44395174042383,-198.56732812399034
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,강우발생,653,최근3시간평균,21.85280245022971,64.44395174042383,-194.90017075474185
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,강우발생,653,최근6시간평균,22.00339203675345,64.44395174042383,-192.88189581306202
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,강우발생,653,최근3시간변화량반영,32.02872894333844,64.44395174042383,-101.20670993354335
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,최근24시간누적강우,2531,현재방류량유지,22.924440932437772,36.796342464479785,-60.511406026977355
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,최근24시간누적강우,2531,최근3시간평균,23.19655603845647,36.796342464479785,-58.628472276129585
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,최근24시간누적강우,2531,최근6시간평균,23.612258659291456,36.796342464479785,-55.83575885486234
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,최근24시간누적강우,2531,최근3시간변화량반영,34.73378901619913,36.796342464479785,-5.938175784158532
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,유입량급증,1056,현재방류량유지,21.704412878787878,31.3635339959957,-44.503028813315
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,유입량급증,1056,최근3시간평균,22.4352398989899,31.3635339959957,-39.795848572173185
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,유입량급증,1056,최근6시간평균,24.244839015151513,31.3635339959957,-29.361692096183628
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,유입량급증,1056,최근3시간변화량반영,31.20103219696969,31.3635339959957,-0.5208218689694164
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,방류량변화,828,현재방류량유지,232.67039855072463,120.01554222986928,48.41821607843912
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,방류량변화,828,최근3시간평균,156.95485909822864,120.01554222986928,23.53499412543912
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,방류량변화,828,최근6시간평균,140.12335144927536,120.01554222986928,14.350077279364177
1003110,충주댐,예측유입량포함,GradientBoosting,XGBoost,방류량변화,828,최근3시간변화량반영,344.5727415458937,120.01554222986928,65.1697514749917
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,전체,8760,현재방류량유지,22.13576484018265,32.12924601230999,-45.14631070703443
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,전체,8760,최근3시간평균,21.763304414003045,32.12924601230999,-47.63036623995961
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,전체,8760,최근6시간평균,22.06709817351598,32.12924601230999,-45.59796562137103
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,전체,8760,최근3시간변화량반영,33.112062785388126,32.12924601230999,2.9681532662224757
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,강우발생,653,현재방류량유지,21.584395099540583,78.69264494616256,-264.58119202903913
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,강우발생,653,최근3시간평균,21.85280245022971,78.69264494616256,-260.10321845624594
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,강우발생,653,최근6시간평균,22.00339203675345,78.69264494616256,-257.63869868208496
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,강우발생,653,최근3시간변화량반영,32.02872894333844,78.69264494616256,-145.6939364823892
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,최근24시간누적강우,2531,현재방류량유지,22.924440932437772,48.44047264399656,-111.3049246730111
1003110,충주댐,예측유입량포함,RandomForest,XGBoost,최근24시간누적강우,2531,최근3시간평균,23.19655603845647,48.44047264399656,-108.82614024120387
